date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:36	874660/874660	---MCZ	200	added ('OK')	text/html	etag:W/%22682c8fbd612220c141a7dce1c357c63b%22	https://atul999.wixsite.com/pricing	C:/Users/a/Documents/x/atul999.wixsite.com/pricing.html	(from )
22:28:36	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://atul999.wixsite.com/robots.txt		(from )
22:28:37	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/a/Documents/x/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://atul999.wixsite.com/pricing)
22:28:37	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/a/Documents/x/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://atul999.wixsite.com/pricing)
22:28:39	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2015%20Jun%202024%2016:58:34%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/a/Documents/x/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://atul999.wixsite.com/pricing)
22:28:39	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2016:58:35%20GMT	https://atul999.wixsite.com/location.href	C:/Users/a/Documents/x/atul999.wixsite.com/location.4.delayed	(from https://atul999.wixsite.com/pricing)
22:28:42	20614/20614	---MCZ	200	added ('OK')	text/xml	date:Sat,%2015%20Jun%202024%2016:58:37%20GMT	https://atul999.wixsite.com/pricing/blog-feed.xml	C:/Users/a/Documents/x/atul999.wixsite.com/pricing/blog-feed.xml	(from https://atul999.wixsite.com/pricing)
22:28:43	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2016:58:39%20GMT	https://atul999.wixsite.com/	C:/Users/a/Documents/x/atul999.wixsite.com/index.html	(from https://atul999.wixsite.com/pricing)
22:28:45	809960/809960	---MCZ	200	added ('OK')	text/html	etag:W/%225f58fccef2a46d70a17226c63ebd2b2a%22	https://atul999.wixsite.com/pricing/solutions	C:/Users/a/Documents/x/atul999.wixsite.com/pricing/solutions.html	(from https://atul999.wixsite.com/pricing)
22:28:47	773119/773119	---MCZ	200	added ('OK')	text/html	etag:W/%222dc0ac85acd92089814e218bc1dc1948%22	https://atul999.wixsite.com/pricing/vision	C:/Users/a/Documents/x/atul999.wixsite.com/pricing/vision.html	(from https://atul999.wixsite.com/pricing)
